Date,Type,Link
2021-04-16 19:28:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6788776577833422848
2021-04-16 04:25:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6788561354186874880
2021-04-13 15:11:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739514468876742656
2021-04-11 21:17:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6787029902576242688
2021-04-11 21:17:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6787088545958961152
2021-04-08 22:46:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6785563480960438273
2021-04-06 20:31:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784847519823253505
2021-04-06 20:31:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6784847519823253505?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6784847519823253505%2C6785090985689931776%29
2021-04-01 12:13:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783318974865149952
2021-04-01 02:59:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782991398984654848
2021-03-31 14:16:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783004382028988416
2021-03-26 05:20:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780597015052120064
2021-03-25 16:48:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6780743592135704576
2021-03-25 14:42:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6780831046813515776
2021-03-22 10:32:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779663823826640896
2021-03-21 07:08:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779279176559034369
2021-03-19 04:05:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777877359786774528
2021-03-16 23:52:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777170342617067520
2021-03-16 23:52:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777647735387508736
2021-03-12 10:08:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6774654600122257409
2021-03-12 09:49:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6772182836406566912
2021-03-11 16:29:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8077034894840910434
2021-03-10 20:57:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6772561769882812416
2021-03-10 03:44:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6774795656419651585
2021-03-08 15:45:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6774713604844335104
2021-03-07 02:22:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6774146225009672192
2021-03-03 21:19:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6772907565316636674
2021-02-27 20:39:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6770319447535181825
2021-02-26 22:15:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6768422488486486016
2021-02-25 06:50:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6770382878460268544
2021-02-25 06:48:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6770584603905286144
2021-02-23 20:05:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6770066174970601472
2021-02-23 18:46:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6769906395723665408
2021-02-23 12:04:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6769891836795346944
2021-02-22 22:17:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6768684112271286272
2021-02-22 19:04:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6769487528346038272?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6769487528346038272%2C6769559574614745088%29
2021-02-19 17:01:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6768388549965295618
2021-02-19 09:03:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6765930334975467520
2021-02-18 11:20:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6767453002845577216
2021-02-17 20:30:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6767863154404864001
2021-02-17 20:22:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6672501969044705280?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6672501969044705280%2C6681228744239157248%29
